source,target,weight
"(121.348,31.389)","(121.35700000000001,31.388)",0.009055385138151621
"(121.508,31.279)","(121.48899999999999,31.271)",0.02061552812809299
"(121.383,31.254)","(121.405,31.248)",0.022803508501988194
"(121.484,31.32)","(121.471,31.325)",0.01392838827717538
"(121.40700000000001,31.291999999999998)","(121.41799999999999,31.288)",0.011704699910701452
"(121.488,31.224)","(121.46799999999999,31.233)",0.02193171219947078
"(121.445,31.176)","(121.447,31.191999999999997)",0.016124515496596537
"(121.369,31.252)","(121.376,31.233)",0.02024845673131677
"(121.529,31.324)","(121.53200000000001,31.323)",0.003162277660182355
"(121.46700000000001,31.32)","(121.447,31.318)",0.02009975124225185
"(121.514,31.307)","(121.51,31.304000000000002)",0.004999999999990479
"(121.385,31.166)","(121.439,31.193)",0.0603738353924839
"(121.419,31.291999999999998)","(121.44200000000001,31.296999999999997)",0.02353720459188954
"(121.551,31.279)","(121.55799999999999,31.272)",0.009899494936606178
"(121.52799999999999,31.309)","(121.523,31.320999999999998)",0.012999999999995392
"(121.413,31.358)","(121.432,31.355999999999998)",0.019104973174548484
"(121.59,31.243000000000002)","(121.584,31.246)",0.006708203932498035
"(121.48299999999999,31.278000000000002)","(121.473,31.273000000000003)",0.011180339887490369
"(121.44200000000001,31.264)","(121.43700000000001,31.263)",0.005099019513587868
"(121.43700000000001,31.294)","(121.427,31.303)",0.013453624047077742
"(121.46600000000001,31.185)","(121.45,31.197)",0.02000000000000455
"(121.384,31.188000000000002)","(121.383,31.186999999999998)",0.0014142135623798477
"(121.38799999999999,31.268)","(121.368,31.272)",0.020396078054366804
"(121.432,31.18)","(121.427,31.184)",0.0064031242374301325
"(121.51299999999999,31.302)","(121.541,31.311)",0.02941088233971111
"(121.382,31.246)","(121.38,31.250999999999998)",0.005385164807137127
"(121.36399999999999,31.248)","(121.367,31.237)",0.011401754250997835
"(121.506,31.329)","(121.501,31.335)",0.007810249675903918
"(121.464,31.193)","(121.47,31.19)",0.006708203932499624
"(121.53299999999999,31.318)","(121.50200000000001,31.309)",0.03228002478311642
"(121.506,31.148000000000003)","(121.48899999999999,31.153000000000002)",0.017720045146678777
"(121.40299999999999,31.163)","(121.42,31.176)",0.021400934559039592
"(121.30799999999999,31.244)","(121.319,31.241)",0.011401754251000953
"(121.47,31.226)","(121.484,31.236)",0.01720465053408274
"(121.411,31.274)","(121.417,31.272)",0.006324555320337748
"(121.476,31.27)","(121.484,31.263)",0.010630145812729927
"(121.5,31.302)","(121.48899999999999,31.294)",0.013601470508742924
"(121.50399999999999,31.305)","(121.5,31.308000000000003)",0.004999999999994742
"(121.459,31.296999999999997)","(121.47,31.305999999999997)",0.014212670403548767
"(121.40100000000001,31.14)","(121.414,31.142)",0.01315294643795686
"(121.43700000000001,31.16)","(121.434,31.168000000000003)",0.008544003745325062
"(121.477,31.267)","(121.441,31.304000000000002)",0.05162363799656403
"(121.436,31.328000000000003)","(121.439,31.326999999999998)",0.0031622776601565156
"(121.431,31.265)","(121.42399999999999,31.27)",0.008602325267046119
"(121.434,31.201)","(121.43,31.208000000000002)",0.008062257748295183
"(121.353,31.17)","(121.352,31.171999999999997)",0.0022360679774914008
"(121.27,31.166999999999998)","(121.275,31.169)",0.005385164807144384
"(121.478,31.289)","(121.476,31.291999999999998)",0.0036055512754585425
"(121.447,31.319000000000003)","(121.444,31.314)",0.005830951894847553
"(121.59,31.279)","(121.59299999999999,31.281999999999996)",0.004242640687106885
"(121.52,31.269000000000002)","(121.51,31.261999999999997)",0.01220655561572912
"(121.319,31.129)","(121.32799999999999,31.144000000000002)",0.017492855684529254
"(121.38600000000001,31.315)","(121.375,31.298000000000002)",0.02024845673132151
"(121.507,31.316)","(121.515,31.309)",0.010630145812729927
"(121.45299999999999,31.335)","(121.441,31.331)",0.01264911064066089
"(121.52600000000001,31.331)","(121.527,31.328000000000003)",0.003162277660162133
"(121.445,31.154)","(121.446,31.133000000000003)",0.021023796041626113
"(121.368,31.19)","(121.374,31.185)",0.007810249675908466
"(121.54700000000001,31.288)","(121.52799999999999,31.279)",0.02102379604164656
"(121.53200000000001,31.316)","(121.541,31.318)",0.009219544457279877
"(121.507,31.3)","(121.522,31.329)",0.0326496554346292
"(121.523,31.279)","(121.52600000000001,31.252)",0.02716615541441485
"(121.60600000000001,31.11)","(121.57,31.115)",0.036345563690787785
"(121.441,31.214000000000002)","(121.46,31.215)",0.019026297590431583
"(121.48299999999999,31.237)","(121.484,31.234)",0.003162277660166627
"(121.44,31.195)","(121.45299999999999,31.19)",0.01392838827717538
"(121.366,31.250999999999998)","(121.365,31.226999999999997)",0.024020824298929738
"(121.486,31.346999999999998)","(121.48,31.334)",0.014317821063274746
"(121.512,31.206)","(121.51799999999999,31.203000000000003)",0.0067082039324853245
"(121.484,31.214000000000002)","(121.473,31.211)",0.011401754250988176
"(121.382,31.245)","(121.404,31.213)",0.038832975677890326
"(121.609,31.279)","(121.602,31.284000000000002)",0.00860232526703662
"(121.48,31.269000000000002)","(121.479,31.311)",0.04201190307519816
"(121.46,31.230999999999998)","(121.48200000000001,31.244)",0.02555386467837916
"(121.48100000000001,31.335)","(121.488,31.338)",0.0076157731058554895
"(121.429,31.349)","(121.42200000000001,31.35)",0.007071067811856532
"(121.495,31.269000000000002)","(121.492,31.261999999999997)",0.007615773105868551
"(121.38,31.323)","(121.374,31.322)",0.0060827625302986455
"(121.431,31.276999999999997)","(121.443,31.281)",0.012649110640674371
"(121.354,31.226)","(121.35600000000001,31.225)",0.0022360679775072887
"(121.428,31.158)","(121.434,31.174)",0.01708800749063349
"(121.46799999999999,31.206)","(121.477,31.206999999999997)",0.009055385138151621
"(121.529,31.195)","(121.525,31.186999999999998)",0.00894427190999738
"(121.366,31.22)","(121.361,31.214000000000002)",0.007810249675901189
"(121.48299999999999,31.201999999999998)","(121.476,31.206)",0.008062257748291217
"(121.54299999999999,31.215)","(121.53,31.214000000000002)",0.013038404810396163
"(121.458,31.279)","(121.465,31.276999999999997)",0.007280109889286
"(121.49,31.276999999999997)","(121.48700000000001,31.253)",0.02418677324489128
"(121.463,31.22)","(121.464,31.221)",0.0014142135623773356
"(121.44,31.241999999999997)","(121.426,31.23)",0.018439088914580567
"(121.42,31.2)","(121.443,31.195999999999998)",0.023345235059853923
"(121.44,31.229)","(121.43,31.22)",0.013453624047067179
"(121.367,31.237)","(121.37,31.232)",0.005830951894844506
"(121.5,31.27)","(121.509,31.271)",0.009055385138137891
"(121.36399999999999,31.239)","(121.339,31.252)",0.028178005607202312
"(121.48100000000001,31.303)","(121.479,31.311)",0.008246211251236783
"(121.449,31.224)","(121.43,31.22)",0.019416487838939307
"(121.36,31.209)","(121.37200000000001,31.215)",0.013416407865011956
"(121.322,31.281999999999996)","(121.345,31.276999999999997)",0.02353720459187565
"(121.51,31.293000000000003)","(121.52799999999999,31.324)",0.03584689665786202
"(121.311,31.239)","(121.32,31.24)",0.009055385138123373
"(121.381,31.243000000000002)","(121.382,31.232)",0.011045361017190466
"(121.51,31.316999999999997)","(121.506,31.320999999999998)",0.005656854249496782
"(121.5,31.28)","(121.501,31.275)",0.0050990195135962296
"(121.465,31.198)","(121.48299999999999,31.209)",0.021095023109717042
"(121.37700000000001,31.256)","(121.38799999999999,31.261999999999997)",0.012529964086123807
"(121.441,31.296999999999997)","(121.416,31.293000000000003)",0.025317977802349026
"(121.45700000000001,31.247)","(121.475,31.245)",0.018110770276261266
"(121.48,31.311)","(121.484,31.305)",0.007211102550922997
"(121.412,31.2)","(121.445,31.191)",0.03420526275296173
"(121.367,31.237)","(121.38,31.243000000000002)",0.014317821063269781
"(121.43799999999999,31.183000000000003)","(121.40899999999999,31.177)",0.029614185789918895
"(121.49,31.276999999999997)","(121.49799999999999,31.291999999999998)",0.016999999999998416
"(121.402,31.263)","(121.351,31.285999999999998)",0.05594640292279763
"(121.48200000000001,31.301)","(121.486,31.3)",0.004123105625608052
"(121.411,31.289)","(121.414,31.271)",0.018248287590895352
"(121.48899999999999,31.255)","(121.479,31.269000000000002)",0.017204650534082325
"(121.54899999999999,31.276999999999997)","(121.544,31.268)",0.010295630140981985
"(121.352,31.171999999999997)","(121.355,31.166)",0.006708203932496446
"(121.515,31.291)","(121.537,31.301)",0.024166091947193394
"(121.515,31.302)","(121.506,31.308000000000003)",0.010816653826394348
"(121.302,31.27)","(121.301,31.271)",0.0014142135623773356
"(121.361,31.349)","(121.353,31.346)",0.008544003745326725
"(121.538,31.271)","(121.531,31.28)",0.011401754250985996
"(121.485,31.305999999999997)","(121.525,31.309)",0.04011234224026967
"(121.509,31.289)","(121.51299999999999,31.291)",0.004472135954990746
"(121.516,31.147)","(121.495,31.144000000000002)",0.021213203435596725
"(121.37,31.112)","(121.385,31.11)",0.015132745950421973
"(121.495,31.213)","(121.501,31.208000000000002)",0.007810249675906192
"(121.47399999999999,31.221999999999998)","(121.459,31.211)",0.01860107523772682
"(121.416,31.263)","(121.412,31.272)",0.009848857801789384
"(121.37700000000001,31.218000000000004)","(121.374,31.247)",0.029154759474224357
"(121.506,31.329)","(121.48899999999999,31.32)",0.019235384061680447
"(121.48899999999999,31.264)","(121.492,31.215)",0.049091750834534674
"(121.32,31.29)","(121.32700000000001,31.287)",0.007615773105881613
"(121.436,31.193)","(121.429,31.191999999999997)",0.007071067811871103
"(121.39299999999999,31.195)","(121.396,31.186999999999998)",0.008544003745325062
"(121.429,31.198)","(121.48200000000001,31.226)",0.05994163828259238
"(121.506,31.320999999999998)","(121.491,31.276)",0.04743416490252412
"(121.444,31.214000000000002)","(121.44,31.213)",0.0041231056256227
"(121.431,31.253)","(121.42200000000001,31.26)",0.01140175425098132
"(121.525,31.285999999999998)","(121.529,31.279)",0.008062257748292098
"(121.44,31.287)","(121.43799999999999,31.304000000000002)",0.017117242768627798
"(121.477,31.256)","(121.479,31.263)",0.007280109889280632
"(121.5,31.335)","(121.506,31.329)",0.008485281374238892
"(121.435,31.163)","(121.432,31.168000000000003)",0.005830951894847553
"(121.39,31.269000000000002)","(121.398,31.276999999999997)",0.011313708498978491
"(121.402,31.08)","(121.389,31.069000000000003)",0.0170293863659276
"(121.455,31.153000000000002)","(121.443,31.156999999999996)",0.012649110640672125
"(121.51799999999999,31.287)","(121.509,31.289)",0.009219544457279877
"(121.45100000000001,31.274)","(121.45299999999999,31.27)",0.004472135954992334
"(121.552,31.224)","(121.55,31.225)",0.0022360679775088777
"(121.42200000000001,31.204)","(121.43299999999999,31.201999999999998)",0.011180339887481154
