label,lng,lat
"(121.35700000000001,31.388)",121.35700000000001,31.388
"(121.48899999999999,31.271)",121.48899999999999,31.271
"(121.405,31.248)",121.405,31.248
"(121.471,31.325)",121.471,31.325
"(121.41799999999999,31.288)",121.41799999999999,31.288
"(121.46799999999999,31.233)",121.46799999999999,31.233
"(121.447,31.191999999999997)",121.447,31.191999999999997
"(121.376,31.233)",121.376,31.233
"(121.53200000000001,31.323)",121.53200000000001,31.323
"(121.447,31.318)",121.447,31.318
"(121.51,31.304000000000002)",121.51,31.304000000000002
"(121.439,31.193)",121.439,31.193
"(121.44200000000001,31.296999999999997)",121.44200000000001,31.296999999999997
"(121.55799999999999,31.272)",121.55799999999999,31.272
"(121.523,31.320999999999998)",121.523,31.320999999999998
"(121.432,31.355999999999998)",121.432,31.355999999999998
"(121.584,31.246)",121.584,31.246
"(121.473,31.273000000000003)",121.473,31.273000000000003
"(121.43700000000001,31.263)",121.43700000000001,31.263
"(121.427,31.303)",121.427,31.303
"(121.45,31.197)",121.45,31.197
"(121.383,31.186999999999998)",121.383,31.186999999999998
"(121.368,31.272)",121.368,31.272
"(121.427,31.184)",121.427,31.184
"(121.541,31.311)",121.541,31.311
"(121.38,31.250999999999998)",121.38,31.250999999999998
"(121.367,31.237)",121.367,31.237
"(121.501,31.335)",121.501,31.335
"(121.47,31.19)",121.47,31.19
"(121.50200000000001,31.309)",121.50200000000001,31.309
"(121.48899999999999,31.153000000000002)",121.48899999999999,31.153000000000002
"(121.42,31.176)",121.42,31.176
"(121.319,31.241)",121.319,31.241
"(121.484,31.236)",121.484,31.236
"(121.417,31.272)",121.417,31.272
"(121.484,31.263)",121.484,31.263
"(121.48899999999999,31.294)",121.48899999999999,31.294
"(121.5,31.308000000000003)",121.5,31.308000000000003
"(121.47,31.305999999999997)",121.47,31.305999999999997
"(121.414,31.142)",121.414,31.142
"(121.434,31.168000000000003)",121.434,31.168000000000003
"(121.441,31.304000000000002)",121.441,31.304000000000002
"(121.439,31.326999999999998)",121.439,31.326999999999998
"(121.42399999999999,31.27)",121.42399999999999,31.27
"(121.43,31.208000000000002)",121.43,31.208000000000002
"(121.352,31.171999999999997)",121.352,31.171999999999997
"(121.275,31.169)",121.275,31.169
"(121.476,31.291999999999998)",121.476,31.291999999999998
"(121.444,31.314)",121.444,31.314
"(121.59299999999999,31.281999999999996)",121.59299999999999,31.281999999999996
"(121.51,31.261999999999997)",121.51,31.261999999999997
"(121.32799999999999,31.144000000000002)",121.32799999999999,31.144000000000002
"(121.375,31.298000000000002)",121.375,31.298000000000002
"(121.515,31.309)",121.515,31.309
"(121.441,31.331)",121.441,31.331
"(121.527,31.328000000000003)",121.527,31.328000000000003
"(121.446,31.133000000000003)",121.446,31.133000000000003
"(121.374,31.185)",121.374,31.185
"(121.52799999999999,31.279)",121.52799999999999,31.279
"(121.541,31.318)",121.541,31.318
"(121.522,31.329)",121.522,31.329
"(121.52600000000001,31.252)",121.52600000000001,31.252
"(121.57,31.115)",121.57,31.115
"(121.46,31.215)",121.46,31.215
"(121.484,31.234)",121.484,31.234
"(121.45299999999999,31.19)",121.45299999999999,31.19
"(121.365,31.226999999999997)",121.365,31.226999999999997
"(121.48,31.334)",121.48,31.334
"(121.51799999999999,31.203000000000003)",121.51799999999999,31.203000000000003
"(121.473,31.211)",121.473,31.211
"(121.404,31.213)",121.404,31.213
"(121.602,31.284000000000002)",121.602,31.284000000000002
"(121.479,31.311)",121.479,31.311
"(121.48200000000001,31.244)",121.48200000000001,31.244
"(121.488,31.338)",121.488,31.338
"(121.42200000000001,31.35)",121.42200000000001,31.35
"(121.492,31.261999999999997)",121.492,31.261999999999997
"(121.374,31.322)",121.374,31.322
"(121.443,31.281)",121.443,31.281
"(121.35600000000001,31.225)",121.35600000000001,31.225
"(121.434,31.174)",121.434,31.174
"(121.477,31.206999999999997)",121.477,31.206999999999997
"(121.525,31.186999999999998)",121.525,31.186999999999998
"(121.361,31.214000000000002)",121.361,31.214000000000002
"(121.476,31.206)",121.476,31.206
"(121.53,31.214000000000002)",121.53,31.214000000000002
"(121.465,31.276999999999997)",121.465,31.276999999999997
"(121.48700000000001,31.253)",121.48700000000001,31.253
"(121.464,31.221)",121.464,31.221
"(121.426,31.23)",121.426,31.23
"(121.443,31.195999999999998)",121.443,31.195999999999998
"(121.43,31.22)",121.43,31.22
"(121.37,31.232)",121.37,31.232
"(121.509,31.271)",121.509,31.271
"(121.339,31.252)",121.339,31.252
"(121.479,31.311)",121.479,31.311
"(121.43,31.22)",121.43,31.22
"(121.37200000000001,31.215)",121.37200000000001,31.215
"(121.345,31.276999999999997)",121.345,31.276999999999997
"(121.52799999999999,31.324)",121.52799999999999,31.324
"(121.32,31.24)",121.32,31.24
"(121.382,31.232)",121.382,31.232
"(121.506,31.320999999999998)",121.506,31.320999999999998
"(121.501,31.275)",121.501,31.275
"(121.48299999999999,31.209)",121.48299999999999,31.209
"(121.38799999999999,31.261999999999997)",121.38799999999999,31.261999999999997
"(121.416,31.293000000000003)",121.416,31.293000000000003
"(121.475,31.245)",121.475,31.245
"(121.484,31.305)",121.484,31.305
"(121.445,31.191)",121.445,31.191
"(121.38,31.243000000000002)",121.38,31.243000000000002
"(121.40899999999999,31.177)",121.40899999999999,31.177
"(121.49799999999999,31.291999999999998)",121.49799999999999,31.291999999999998
"(121.351,31.285999999999998)",121.351,31.285999999999998
"(121.486,31.3)",121.486,31.3
"(121.414,31.271)",121.414,31.271
"(121.479,31.269000000000002)",121.479,31.269000000000002
"(121.544,31.268)",121.544,31.268
"(121.355,31.166)",121.355,31.166
"(121.537,31.301)",121.537,31.301
"(121.506,31.308000000000003)",121.506,31.308000000000003
"(121.301,31.271)",121.301,31.271
"(121.353,31.346)",121.353,31.346
"(121.531,31.28)",121.531,31.28
"(121.525,31.309)",121.525,31.309
"(121.51299999999999,31.291)",121.51299999999999,31.291
"(121.495,31.144000000000002)",121.495,31.144000000000002
"(121.385,31.11)",121.385,31.11
"(121.501,31.208000000000002)",121.501,31.208000000000002
"(121.459,31.211)",121.459,31.211
"(121.412,31.272)",121.412,31.272
"(121.374,31.247)",121.374,31.247
"(121.48899999999999,31.32)",121.48899999999999,31.32
"(121.492,31.215)",121.492,31.215
"(121.32700000000001,31.287)",121.32700000000001,31.287
"(121.429,31.191999999999997)",121.429,31.191999999999997
"(121.396,31.186999999999998)",121.396,31.186999999999998
"(121.48200000000001,31.226)",121.48200000000001,31.226
"(121.491,31.276)",121.491,31.276
"(121.44,31.213)",121.44,31.213
"(121.42200000000001,31.26)",121.42200000000001,31.26
"(121.529,31.279)",121.529,31.279
"(121.43799999999999,31.304000000000002)",121.43799999999999,31.304000000000002
"(121.479,31.263)",121.479,31.263
"(121.506,31.329)",121.506,31.329
"(121.432,31.168000000000003)",121.432,31.168000000000003
"(121.398,31.276999999999997)",121.398,31.276999999999997
"(121.389,31.069000000000003)",121.389,31.069000000000003
"(121.443,31.156999999999996)",121.443,31.156999999999996
"(121.509,31.289)",121.509,31.289
"(121.45299999999999,31.27)",121.45299999999999,31.27
"(121.55,31.225)",121.55,31.225
"(121.43299999999999,31.201999999999998)",121.43299999999999,31.201999999999998
"(121.43799999999999,31.281)",121.43799999999999,31.281
"(121.415,31.2)",121.415,31.2
"(121.419,31.275)",121.419,31.275
"(121.48299999999999,31.221)",121.48299999999999,31.221
"(121.434,31.239)",121.434,31.239
"(121.363,31.131999999999998)",121.363,31.131999999999998
"(121.4,31.135)",121.4,31.135
"(121.51,31.253)",121.51,31.253
"(121.389,31.103)",121.389,31.103
"(121.435,31.215)",121.435,31.215
"(121.459,31.22)",121.459,31.22
"(121.479,31.311)",121.479,31.311
"(121.40899999999999,31.179000000000002)",121.40899999999999,31.179000000000002
"(121.538,31.32)",121.538,31.32
"(121.42299999999999,31.268)",121.42299999999999,31.268
"(121.49,31.265)",121.49,31.265
"(121.527,31.264)",121.527,31.264
"(121.37299999999999,31.313000000000002)",121.37299999999999,31.313000000000002
"(121.441,31.225)",121.441,31.225
"(121.494,31.208000000000002)",121.494,31.208000000000002
"(121.446,31.217)",121.446,31.217
"(121.43,31.21)",121.43,31.21
"(121.39299999999999,31.34)",121.39299999999999,31.34
"(121.43700000000001,31.338)",121.43700000000001,31.338
"(121.47399999999999,31.315)",121.47399999999999,31.315
"(121.544,31.285)",121.544,31.285
"(121.48299999999999,31.213)",121.48299999999999,31.213
"(121.48100000000001,31.344)",121.48100000000001,31.344
"(121.365,31.238000000000003)",121.365,31.238000000000003
"(121.406,31.23)",121.406,31.23
"(121.376,31.25)",121.376,31.25
"(121.538,31.323)",121.538,31.323
"(121.43,31.226999999999997)",121.43,31.226999999999997
"(121.46,31.256999999999998)",121.46,31.256999999999998
"(121.51299999999999,31.296)",121.51299999999999,31.296
"(121.419,31.289)",121.419,31.289
"(121.505,31.316)",121.505,31.316
"(121.48,31.224)",121.48,31.224
"(121.47399999999999,31.334)",121.47399999999999,31.334
"(121.435,31.201)",121.435,31.201
"(121.52600000000001,31.316)",121.52600000000001,31.316
"(121.32799999999999,31.183000000000003)",121.32799999999999,31.183000000000003
